id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
6,Filicinae,Classe,"(dal nome lat. \'filix\', genitivo filicis = Felce)",,,,,,,,,,,,
34,Ophioglossaceae,Famiglia,"(dal nome del gen. Ophioglossum)",4420c10ec984eb30d11708ea7e62d9ac,4503,,,,,,,,,,
84,Botrychium,Genere,"(dal gr. bòtrys = grappolo, per la forma della pannocchia sporifera)",43850e9aaf54275ab6459b8fd2bd6c85,47173397,L.,,,,,,,,,
88,"Botrychium simplex",Specie,"Rinvenuto presso Peio, nell'alta Val di Bresimo e presso Molveno: 4-7; E.",245a00ddd9eb999564ff762fe14badd3,597764,Hitchcock.,Giugno,Agosto,1000,3000,,,,,
87,"Botrychium lunaria",Specie,"Freq. nei prati asciutti. Alla forcella Rodella a 2300 m. (Chiarugi).",f339906bafc52822dd1889b368211809,597544,Sw.,Marzo,Agosto,400,3000,,"Erba lunaria",26,,
85,"Botrychium matricariae",Specie,"Spr. Su pendii erbosi, in boschi radi.",34ab1cbd61ba4a34156cbb180b5e71ee,47173415,,Giugno,Novembre,1000,2200,,,,,
83,"Ophioglossum vulgatum",Specie,"In prati umidi; indicato soltanto per il Tr. e per l'A.A. merid. (distretti di Bolzano e Merano); 2-4; E.<br /><br />(dal gr. òphis = serpente e \'glossa\' = lingua, per la forma della parte fertile della fg.).",62858332adaf3acabd20ee834aacc3c7,36905,L.,Giugno,Agosto,0,1500,,,25,,
33,Polypodiaceae,Famiglia,"(dal nome del gen. <em>Polypodium</em>, ad essa appartenente)",5bec48007b1d16a6933867df0645dc6b,4519,,,,,,,,,,
52,"Gymnogramme leptophylla",Specie,"<div>Svernante, cioè con le parti verdi disscccantisi nella primavera del secondo anno; le fg. più sviluppate 2-3 volte pennatosette, a divisioni ultime obovato-cuneate, a margine inciso-crenato; sori oblungo-ineari. Rinvenuta alla metà del secolo scorso e di nuovo qualche tempo dopo in cavità di schisti micacei, con temperatura sup. all'esterna, su terreno finissimo; in vicinanza di Algundo (Merano), fino a un'altezza di ca. 650 m.</div><div> </div>(dal gr. ghymnòs = nudo e \'gramme\' = striscia, per i sori allungati e nudi)",1043f71fa2452311cea5f5170cb0a25c,6107587,"Desv. P.",Marzo,Maggio,,,,,,,
51,Phegopteris,Genere,"(dal gr. phegòs = faggo e \'pteris\' = felce, per la presenza di queste felci anche nei boschi di latifoglie).",f05574272c2bebf3bf15dbc98f303ed3,61621,,,,,,,,,,
60,"Phegopteris robertiana",Specie,"In stazioni analoghe a quelle della precedente, per lo più su terreno calcareo; 2-6; E.",7dc39c36fa7b3fc62ab51356621ca8f5,597247,"A. Br.",Giugno,Agosto,0,2200,,,,,
59,"Phegopteris dryopteris",Specie,"C. nei boschi sassosi, anche sulle ceppaie degli alberi.",ca90c2e295af966751abe434f16a03e0,,Fée.,Maggio,Agosto,500,300,,,,,
58,"Phegopteris vulgaris",Specie,"Freq. nei boschi.",daf1bdb3d23591d692031811557fa6d1,,Metten.,Giugno,Agosto,1000,2200,,,11,"(= Polypodium phegopteris L.)",
50,"Polypodium vulgare",Specie,"Rizoma strisciante, di sapore agro-dolce; fg. oblungo-lanceolate, lunghe fino a 3 dm. ed oltre; sori rotondi, in 2 serie parallele al nervo mediano di ciascun lobo. In luoghi ombrosi, sulle rocce, sui muri, al piede di alberi; 2-5; E.<br /><br />(dal gr. polys = molti e podòs = piedi, forse per essere stati paragonati i lobi della fronda a tanti piedi o dita)",861d69a20ac447572dc896c18884900b,11416675,L.,Giugno,Agosto,0,1500,,"Felce dolce",10,,
48,Athyrium,Genere,"(dal gr. athyro = io muto, cambio, per la forma variabile dei sori).",69a4d682a00246db10d15fd78ee77ccf,72689,Roth.,,,,,,,,,
80,"Athyrium alpestre",Specie,"In luoghi umidi e cespugliosi, specialm. dei monti silicei.",bd35d65f5685e498e3c9fa18c4a5c199,594864,Rylands.,Giugno,Novembre,1000,3000,,,,,
79,"Athyrium filix-foemina",Specie,"C. in luoghi ombrosi ed umidi.",,47187115,Roth.,Giugno,Novembre,700,2200,,"Felce femmina",17,,
47,Polystichum,Genere,"(dal gr. polys = molto e \'stix\' = fila, per i sori disposti in più file).",68d669ff3eb1a74bb12b7e2ba312de6c,6131482,Roth.,,,,,,,,,
68,"Polystichum aculeatum",Specie,"Nei boschi in genere; in luoghi rupestri e ombrosi.",9870dc340144b311ddeb69352da45209,47172255,Roth.,Giugno,Novembre,400,1900,,"Felce maschia minore",,,
67,"Polystichum lonchitis",Specie,"Sulle rupi e in luoghi sassosi, nonché tra cespugli.",fdb6992196b2e646c3d980c92a8d0939,492425,Roth,Giugno,Novembre,1000,3000,,,13,,
46,Dryopteris,Genere,"(dal gr. drys = quercia e \'pteris\' = felce. Gli antichi designavano con questo nome una felce crescente al piede delle querce)",7913b63dc4d65879bb85bf9ca6f1c8d6,60837,,,,,,,,,,
