id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
171,Rosaceae,Famiglia,"Dal gen. Rosa, il più caratteristico di questa fam.<br /><br />Le Rosacee costituiscono una fam. che conta ca. 2000 specie sparse su tutto il globo, per la massima parte perenni e spesso delle dimensioni di alberi.<br />Le fg. sono sparse¹, semplici o composte, per lo più provviste di stipole. I fi. sono regolari (a simmetria raggiata o attinomorfi) con involucro quasi sempre distinto in cal. e cor. l'uno e l'altra (tolte rare eccezioni) con 5 sp. e 5 pt. Il cal. può essere accompagnato da un calicetto con 4-5 lacinie (p.e. nelle Fragole e nelle Potentine); gli st. sono per lo più molto numerosi. Tutti questi organi fiorali sono inseriti lungo il margine del ricettacolo che può essere convesso, piatto e concavo.<br />Il gineceo è costituito da 1-molti pistilli, i cui ov. possono essere superi (se liberi sul ricettacolo o dentro lo stesso) o semiinferi od inferi, se parzialm. o totalm. concresciuti col ricettacolo o col calice.<br />I fr. possono essere secchi o carnosi, veri, se l'ov. è supero (ciliegia, pesca ecc.) o falsi, se l'ov. è infero (pera, mela, nespola ecc.).<br />Nel caso di fi. con numerosi ov. superi e liberi, si hanno dei fr. composti, simulanti un fr. unico (Lampone, Fragola).<br />La fam. delle Rosacee ha dato all'uomo un numero assai rilevante di specie meritevoli di venir coltivate o come p. ornamentali per la bellezza dei loro fi. o del loro aspetto (Rosa, Lauroceraso ecc.) o, più ancora, come p. alimentari per la squisitezza e il valore nutritivo dei loro fr. (Melo, Pero, Pesco ecc.). La frutticoltura delle zone temperate e soprattutto coltura di Rosacee legnose, che proprio nella nostra reg. trovano un clima favorevole e danno pertanto una produzione elevatissima e assai pregiata.<br /><br />¹ Tranne nel <em>Rhodotypus tetrapetala</em> S. et Z., arbusto dell'Asia or., qui e lì coltivato anche nella nostra reg. come p. ornamentale, che ha fg. opposte, ovato-bislunghe, acuminate, irregolarm. seghettate e fi. solitari, bianchi, con 4 pt.",b56038fec00d3381935e5d01fc08dac9,8097,,,,,,,,,,
1543,Potentilla,Genere,"(dal lat. pótens = forte, potente, per le proprietà toniche e astringenti di alcune specie).",b32f1286a7891c71ffb8a9138010ead2,29912,L.,,,,,,,,,
1596,"Potentilla crantzii",Specie,"Freq. sui pascoli sassosi dell'alta montagna; 5-7; E. Specie assai polimorfa.",028bcc40ef3710bee8975ca260059159,229916,Beck.,Giugno,Agosto,1900,3000,,,,,
1595,"Potentilla aurea",Specie,"C. nei pascoli di montagna fin oltre i 2000 m.",af0aeff879b18f8f09fca59713b821d1,629312,L.,Giugno,Agosto,,,,"Fragola d'oro",427,,
1594,"Potentilla gaudini",Specie,"In luoghi aridi e soleggiati; sovente con nuovi fi. nel tardo autunno.",fe1494319d6659855ab6cd4059b792a2,414166,Gremli,Marzo,Novembre,0,1000,,,,"(= P. verna L. ssp. puberula Krasan)",
1592,"Potentilla recta",Specie,"In luoghi erboso-sassosi e soleggiati.<br /><br />Nei dintorni di Trento, Rovereto e Bolzano cresce un ibrido tra la <em>P. argentea</em> e la <em>P. recta</em>: (<em>P. coryleti</em> Dalla Torre-Sarnthein) che si distingue per il f. e la pagina inf. delle fg. ± grigio-tomentosi e per abbondanti peli lunghi, appressati o patenti.",6244156388ee72e6dbb04056e301eff1,629632,L.,Marzo,Agosto,0,1000,,,,,
1591,"Potentilla collina",Specie,"Su terreno sabbioso-sassoso e arido, su pascoli asciutti, in boschi di pini, quasi esclusivam. nell'A.A.",6b16848ac52fd9060ca0c688fdd56ad3,51845542,"Wibel et Auct.",Marzo,Agosto,0,1000,,,,"(= P. wiemanniana Günth. et Schummel)",
1590,"Potentilla argentea",Specie,"Freq. in luoghi erbosi e piuttosto aridi, sui muri, lungo le strade. Specie polimorfa.",3f69734f0f2406328ee6a4c739375e85,231473,L.,Maggio,Agosto,0,300,,,426,,
1589,"Potentilla reptans",Specie,"C. lungo te strade, nei vigneti, al margine dei campi, in luoghi erbosi, umidi.",0358121d22fa1b1490ab2f15d7dd3524,230196,L.,Marzo,Agosto,0,1900,,Cinquefoglio,425,,
1588,"Potentilla grandiflora",Specie,"Su pascoli sassosi.",276f8726ed54c69ad50b1c35f3efe976,229735,L.,Giugno,Agosto,1900,3000,,,424,,
1587,"Potentilla frigida",Specie,"Sulle vette e sui crinali dei monti altoatesini, in punti erbosi. In Val di Fosse (A.A. nord-occid.) fino a 2800 m.",513f946fb7b691752a97a9dac227acb7,16907748,Vill.,Giugno,Agosto,2200,3000,,,,,
1586,"Potentilla brauniana",Specie,"Nelle vallette nivali, su terreno umoso-sassoso; specialm. nell'A.A.; nel Tr. in Val di Fassa, nel Gruppo di Brenta e sulla Paganella.",e8a8c14a6b0534757bcf34114e343460,636142,Hoppe,Giugno,Agosto,2200,3000,,,,"(= P. dubia Zimm.)",
1585,"Potentilla nivea",Specie,"In punti erboso-rupestri dei monti altoatesini; recentem. rinvenuta su suolo roccioso anche lungo il sentiero che dal Pordoi conduce alla Fedaia (Merxmüller).",4e2997d95e4e587d98a460b767cd241d,229859,L.,Giugno,Agosto,2200,3000,,,,,
1583,"Potentilla supina",Specie,"Al piano, in luoghi incolti, lungo le strade ed anche nei campi; rara.",0afb3d69b69db35f6652b68efff607b1,412862,L.,Giugno,Novembre,0,300,,,,,
1582,"Potentilla anserina",Specie,"In luoghi arenosi, lungo le strade, sulle sponde di laghi.",3c3b8639e0b88c264cc1b4506efbaa6c,301011,L.,Giugno,Agosto,0,2200,,,423,,
1581,"Potentilla tormentilla",Specie,"C. nei prati e pascoli umidi c nei boschi, dal piano all'alta montagna.<br /><br />Per il forte contenuto in tannino il rizoma di questa specie viene usato in polvere o macerato in vino forte come astringente contro la dissenteria e le emorragie intestinali e in pari tempo come tonico e stimolante della funzione gastrica.",aedc57a734d3c410daaab2dedaf4c483,49932260,Neck.,Marzo,Novembre,,,,Tormentilla,422,,
1580,"Potentilla caulescens",Specie,"Freq. sulle rupi calcaree e dolomitiche. In Val Gardena sul M. Puez a 2400 m. (Chiarugi).<br /><br />La p. prospera meravigliosam. anche su pareti verticali di nuda roccia, entro le cui fessure penetra con lunghe radici nastriformi, le quali assorbono l'acqua impregnante la rupe.",0616829ead47c20533ef25d68cd30686,16907789,L.,Giugno,Agosto,0,3000,,,,,
