id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
2084,"Chaerophyllum temulum",Specie,"Nelle siepi e tra i cespugli.<br />Velenoso.",e14608fe1730d50988e57eefa4931d3c,581686,L.,Marzo,Agosto,0,1000,,,595,,
2083,"Chaerophyllum aureum",Specie,"Nelle siepi e tra i cespugli; ma a 2100 m. al Lago Santo e in Valle del Chedul (Val Gardena) (Chiarugi).",900c3c467e4f9a80c7d3d095fcbec1a4,5040737,L.,Marzo,Agosto,700,1000,,,,,
2082,"Chaerophyllum villarsii",Specie,"Nei prati asciutti e nei boschi radi di montagna.",5c372213e2a4239ca6a0a8c6d0349bfc,5040870,Koch.,Giugno,Agosto,700,2200,,,,,
2081,"Chaerophyllum cicutaria",Specie,"In luoghi ombrosi e piuttosto umidi.",0efd1c489eee80167a2fb5f5f1567362,5040760,Vill.,Marzo,Agosto,0,2200,,,,,
2080,"Anthriscus cerefolium",Specie,"Coltivato in sostituzione del prezzemolo e come insalata: qui e lì inselvatichito.",0147e852b633e5603e625f06ad29873c,584997,Hoffm.,Marzo,Maggio,,,,Cerfoglio,,,
2079,"Anthriscus silvestris",Specie,"In prati pingui, nelle siepi, sulle malghe. Velenoso.",6bd99a85b1271a03b7fed58b49203385,584996,Hoffm.,Marzo,Agosto,700,1900,,"Cerfoglio selvatico",592,,
2077,"Torilis anthriscus",Specie,"Freq. nelle siepi e in luoghi incolti.",a9dec65fbef392d190c49134afc577a5,47190098,Gmel.,Giugno,Novembre,0,1000,,,590,,
2076,"Torilis arvensis",Specie,"Nei campi e in luoghi incolti del piano e dei colli nella parte merid. della reg. A Nord fino a Spondigna (Rotula) e Bressanone.",4c7d590aa884c7618cdae0326dff0279,581477,Lk.,Giugno,Agosto,,,,Lappolina,,,
2075,"Torilis nodosa",Specie,"Lungo i margini di strade e su muri di campagna del piano e dei colli, quasi soltanto nel Tr. sud-occid.; P-A (589).",4823d28565871a605348beb53e3f8d96,581480,Gaertn.,Marzo,Novembre,,,,,589,,
2074,"Laserpitium halleri",Specie,"Su pendii erboso-rupestri.<br /><br />Sullo Stelvio rinvenuto a 2564 m. (Rotula).",8337edf5fc81cf3623a6bccdd8f9983c,31020901,Crantz.,Giugno,Agosto,1000,3000,,,,,
