id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
91,Gymnospermae,Sottodivisione,"(dal gr. ghymnòs = nudo e \'sperma\' = seme, cioè con semi nudi)",,,,,,,,,,,,
95,Coniferinae,Classe,"Le Conifere sono le p. spontanee più caratteristiche del nostro piano montano, dove formano da sole boschi anche assai estesi, che conferiscono al paesaggio una fisionomia severa.<br />Simbolo di robustezza, le Conifere costituiscono una delle maggiori ricchezze delle nostre valli montane per la quantità colossale di legname da opera e da fuoco da loro prodotta. Le loro selve impediscono la formazione delle acque selvagge e il conseguente denudamento delle chine dei monti; trattengono le valanghe, favoriscono te precipitazioni atmosferiche e rendono l'aria salubre, arricchendola di ossigeno. Nei parchi pubhlici e privati vengono coltivate oltre alle conifere spontanee della reg., anche specie esotiche, delle quali alcune fra le più frequenti vengono più sotto menzionate e brevem. descritte.<br /><br />La Classe delle Conifere comprende ben 3 famiglie. Per semplicità si riporta soltanto una chiave riguardante i generi rappresentati nella reg. da specie spontanee, nonché alcuni altri, dei quali viene frequentem. coltivata a scopo ornamentale qualche specie di origine asiatica od americana.",,,,,,,,,,,,
110,Cupressus,Genere,"(nome già in uso presso i Romani).",573327ad6ab5067e0ea014bff9f49d8c,34195,L.,,,,,,,,,
133,"Cupressus arizonica",Specie,"Frequentem. coltivato nei parchi e nei cimiteri; originario delle montagne dell'Arizona e del Nuovo Messico.",18d4c96c0a951a16f289fa1c0af5b197,1061702,Green.,,,,,,,,,
132,"Cupressus sempervirens",Specie,"Cipresso (per eccellenza); la forma descritta e la var. fastigiata, ma non è rara anche la var. horizontalis a rami patenti e perciò a chioma ampiam. conica. Coltivato nella parte merid. della reg. al piano e sui colli.",9957bb71b547524b20572bb59a31bc28,1034869,L.,Marzo,Maggio,,,,,,,
109,Thuja,Genere,"(dal gr. thyia = incenso per il legno odoroso).",fea0b4322f3a446c0cf006f5ebb0d2c8,14007,,,,,,,,,,
135,"Thuja occidentalis",Specie,"Albero ornamentale originario degli Stati Uniti or..",,,L.,Marzo,Maggio,,,,,,,
134,"Thuja orientalis",Specie,"Specie ornamentale della Cina sett.",a4e70eddc46b30ddcc9126144fbfc971,49911045,L.,Marzo,Maggio,,,,"Albero della Vita",,,
108,"Chamaecyparis lawsoniana",Specie,"Albero alto fino a 70 m., producente numerosissimi corpi fruttiferi sferoidali-poliedrici, del diametro di 1 cm. e formati di 8-10 squame. Specie ornamentale originaria dell'America Nord- orient.<br /><br />(dal gr. chamaì = a terra, basso e \'Kyparis\' = Cipresso).",8d8e4dc388b2cab17b688ff1abe2e722,1034844,Parl.,,,,,,,,,
107,"Libocedrus decurrens",Specie,"Albero ornamentale alto fin oltre 40 m., introdotto dall'Oregon e dalla California.<br /><br />(dal gr. libos = goccia e \'cedrus\'; forse per i piccoli corpi fruttiferi penduli e dalla forma di gocce).",2f7c04cbfce31564baa8dba7c8fd803c,49914576,Terr.,,,,,,,,,
