id,name,taxa_kind_id_name,description,col_id,eol_id,Autore,"Inizio fioritura","Fine fioritura","Limite altitudinale inferiore","Limite altitudinale superiore","Ciclo biologico","Nome Italiano",Progressivo,Sinonimi,Diffusione
2532,"Mentha verticillata",Specie,"Ibrido quasi sterile con caratteristiche intermedie tra quelle dei genitori, ma più ricco di stoloni allungati, fogliosi, In luoghi umidi.",e4dbe7d2e43114c85d82d65db400abde,51629518,L.,Giugno,Agosto,0,1000,,,,"(= M. aquatica x M. arvensis)",
2531,"Mentha arvensis",Specie,"<div>Nei prati e nei campi umidi, specialm. di Mais e di Patate.</div>",902b26f65abe6ce1fb2387a9fba614b6,478840,L.,Giugno,Agosto,0,1000,,,,,
2530,"Mentha pulegium",Specie,"Presso i fossi e in luoghi paludosi.",5095500fa34e655d3f737667e24babb5,579696,L.,Giugno,Novembre,0,700,,,745,,
2529,"Mentha aquatica",Specie,"In luoghi umidi.",5852f8db9ca9112936e34cb529ee64a3,595659,L.,Giugno,Agosto,0,1000,,,744,,
2528,"Mentha longifolia",Specie,"Lungo i fossi e in generale in luoghi umidi.",fe3e3516bb31b8363d33f08c5a0400f6,2893955,Huds.,Giugno,Novembre,0,1000,,,743,,
2527,"Mentha rotundifolia",Specie,"Coltivata negli orti e nei giardini.",377680d8108ce2601086b65ef297b2b0,50446061,Huds.,Giugno,Agosto,,,,Mentastro,,,
2526,"Mentha spicata",Specie,"Coltivata e spontanea in luoghi umidi o nei campi, ma rara.",b85e46cf027e33e99dc013584f3a6989,52375386,L.,Giugno,Agosto,,,,,,,
2525,"Mentha piperita",Specie,"(di origine ibrida: <em>M. acquatica</em> x <em>M. spicata</em>). Coltivata e talora inselvatichita.<br />Largam. usata in profumeria e saponeria; nell'industria dei liquori e dei confetti; per le paste dentifrice ed anche in medicina.",e2d765c47c0f2d00df32f38fc7a548a2,52375385,L.,,,,,,"Menta peperina",,,
2523,"Thymus serpyllum",Specie,"C. in luoghi soleggiali, sia aridi che erbosi.<br />Specie assai polimorfa, nella quale vengono distinte numerose sottospecie, varietà e forme diversam. raggruppate e denominate da specialisti diversi.",2cc2341d6195d0a31765347a973479e9,1278298,L.,Marzo,Agosto,0,3000,,Pepolino,741,,
2522,"Thymus vulgaris",Specie,"P. della reg. mediterranea occid.<br />Nella reg. coltivato, oltre che come p. ornamentale, anche per uso di cucina, altrove per l'estrazione dell'essenza di timo (timólo), impiegata nell'industria dei profumi e dei saponi, nonché in medicina per la sua azione antisettica sull'intestino.",7a291f9206ab626700c6586a15698231,484542,L.,,,,,,Timo,,,
2521,"Satureja alpina",Specie,"Freq. in luoghi sassosi o rocciosi. Alla Forcella di Mont dall'Ega (Val Gardena) a 2600 m. (Chiarugi).",fb7ac178a094cd2b8a21b939ca1efaed,47152431,Sheele,Giugno,Agosto,700,2200,,,,,
2520,"Satureja acinos",Specie,"Freq. in luoghi sassosi e soleggiali e nei campi. Lungo la strada del Tonale lino a 1600 m.",e5a8a85329b4a7c53312a7d93e3d1155,49897346,Sheele,Giugno,Agosto,0,1900,,,,,
2519,"Satureja calamintha ssp. nepetoides",Specie,"È la ssp. più diffusa nella reg.",,,Jordan,,,,,,,,,
2518,"Satureja calamintha ssp. nepeta",Specie,"Bassa Val di Non, Trento e dintorni, bassa Valle del Sarca.",,,L.,,,,,,,,,
2517,"Satureja calamintha ssp. subnuda",Specie,"Rinvenuta numerosa sopra Isera (Rovereto).",,,"Waldst. et Kit.",,,,,,,,,
2516,"Satureja calamintha ssp. officinalis",Specie,"Dintorni di Bolzano, Cles, Pieve di Bono.",,,Moench.,,,,,,,,,
2515,"Satureja calamintha",Specie,"In luoghi sassosi e soleggiati. La specie presenta parecchie sottospecie, delle quali sono state riscontrate nella reg le seguenti.<br /><br />Classificazione secondo: Hegi Flora von Mitteleuropa.",104af882f17a866e77b68baf5b712559,50449996,Scheele,Giugno,Agosto,0,1000,,Nepetella,,,
